food_id,food,caloric_value,fat,saturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,calcium,iron,nutrition_density,price,CO2_emissions_kg_per_kg,refined_category
538,beet greens raw,8,0.078,0.026,1.6,0.2,0.8,1.4,0,0.013,44.5,1,60.771,2,0.43,Processed Foods
539,savoy cabbage cooked,41,0.2,0.076,9.2,0,3.1,4.8,0,0.05,0,0.089,17.612,58,0.51,Processed Foods
540,witloof chicory,9,0.031,0.076,2.1,0,0.5,1.6,0,0.022,10.1,0.1,15.994,72,8.7,Processed Foods
541,turnips cooked,34,0.1,0.082,7.9,4.7,1.1,3.1,0,0.017,0.063,0.025,12.408,74,4.7,Processed Foods
542,dried tomatoes,5,0.053,0.032,1.1,0.8,0.3,0.2,0,0.069,2.2,0.2,4.838,4,10.8,Vegetables
543,radicchio,15,0.2,0.031,2.9,0.4,0.9,0.6,0,0.033,12.4,0.4,22.6,33,2.7,Processed Foods
544,mixed vegetables cooked,118,0.3,0,23.8,5.7,5.2,8,0,0.089,0.083,0.2,37.698,65,0.53,Vegetables
545,yellow tomato,32,0.6,0.03,6.3,0,2.1,1.5,0,0.088,0,0.2,10.8,69,19.4,Vegetables
546,cardoon cooked,26,0.1,0.014,6.4,0,0.9,2,0,0.2,86.4,0.9,98.7,19,19.1,Processed Foods
547,spinach raw,7,0.1,0.024,1.1,0.1,0.9,0.7,0,0.036,29.7,0.8,41.7,71,0.5,Vegetables
548,kale raw,7,0.3,0.057,0.9,0.2,0.6,0.9,0,0.045,53.3,0.3,75.973,71,11.1,Vegetables
549,drumstick pods cooked,42,0.2,0,9.7,0,2.5,5,0,0.3,23.6,0.5,156,22,4.3,Processed Foods
550,kohlrabi raw,72,0.3,0.007,16.4,6.9,4.5,9.5,0,0.063,0.069,0.3,31.457,28,8.7,Processed Foods
551,lentil sprouts,82,0.4,0.067,17,0,6.9,0,0,0.044,19.3,2.5,58.8,9,15.3,Plant-Based Proteins
552,carrots raw,25,0.1,0.046,5.8,2.9,0.6,1.7,0,0.024,0.028,0.022,8.43,46,0.43,Vegetables
553,red chili peppers,18,0.2,0.088,4,2.4,0.8,0.7,0,0.03,6.3,0.5,77.2,93,19.1,Herbs & Spices
554,fennel,73,0.5,0,17.1,0,2.9,7.3,0,0.1,0.1,0.2,28.2,44,3.8,Processed Foods
555,sweet corn white,63,0.9,0.1,13.9,2.4,2.4,2,0,0.016,0.084,0.049,19.356,73,12,Processed Foods
556,celeriac raw,66,0.5,0.1,14.4,2.5,2.3,2.8,0,0.2,0.081,0.1,20.499,96,8.4,Processed Foods
557,hubbard squash raw,46,0.6,0.1,10.1,4.6,2.3,4.5,0,0.094,0.086,0.033,17.795,31,10.3,Processed Foods
558,brussels sprouts cooked,8,0.1,0.099,1.5,0.4,0.5,0.5,0,0.051,7.6,0.3,23.5,28,3.4,Processed Foods
559,carrots cooked,16,0.092,0.096,3.8,1.6,0.3,1.4,0,0.025,13.8,0.2,21.214,23,0.43,Vegetables
560,lambs quarters raw,0,0.067,0,0.069,0,0.08,0.046,0,0.033,3.3,0.06,3.658,78,25,Meat & Poultry
561,lotus root cooked,6,0.056,0.029,1.4,0,0.1,0.3,0,0,2.3,0.059,6.591,49,15.9,Processed Foods
562,split peas raw,672,2.3,0.3,118.9,15.8,48.4,50.2,0,0.075,108.4,8.7,340.4,9,1,Plant-Based Proteins
563,scots kale cooked,36,0.5,0.014,7.3,0,2.5,0,0,0.4,171.6,2.5,253,33,9.5,Vegetables
564,corn cooked,99,1.5,0.2,21.6,4.7,3.5,2.5,0,0.039,0.055,0.025,29.288,99,10.7,Processed Foods
565,radish raw,1,0.026,0.084,0.2,0.066,0.042,0.002,0,0.033,0.002,0.052,0.556,57,16.4,Processed Foods
566,stinging nettles,37,0.007,0,6.7,0.2,2.4,6.1,0,0.09,428.1,1.5,444.816,100,18,Processed Foods
567,baby carrots,5,0.053,0.015,1.2,0.7,0.031,0.4,0,0.097,4.8,0.1,6.999,7,0.43,Vegetables
568,sweet yellow peppers,50,0.4,0.012,11.8,0,1.9,1.7,0,0.017,20.5,0.9,378.5,7,8.9,Herbs & Spices
569,taro leaves raw,12,0.2,0.013,1.9,0.8,1.4,1,0,0.083,30,0.6,49.7,99,18,Processed Foods
570,corn raw,123,1.9,0.5,26.7,9,4.7,2.9,0,0.083,0.054,0.076,36.328,98,1.1,Processed Foods
571,roselle,28,0.4,0,6.4,0,0.5,0,0,0.079,122.6,0.8,137.5,14,17.8,Processed Foods
572,drumstick leaves raw,13,0.3,0,1.7,0,2,0.4,0,0.071,38.9,0.8,55,66,16.3,Processed Foods
573,scallop squash raw,23,0.3,0.097,5,3.1,1.6,1.6,0,0.075,24.7,0.5,57.1,47,7.7,Processed Foods
574,chicory roots,65,0.2,0.052,15.8,7.9,1.3,1.4,0,0.055,0,0.051,18.997,24,10,Processed Foods
575,brussels sprouts raw,8,0.077,0.072,1.7,0.4,0.6,0.7,0,0.049,8,0.3,27.553,26,7.4,Processed Foods
576,kale cooked,42,1.4,0.2,6.3,1.4,3.5,4.7,0,0.018,0.5,0.2,16.697,54,0,Vegetables
577,pupusas con frijoles,289,11.4,2.8,39.7,1.6,7,7.3,0,0.4,64.3,1.8,131.5,2,1.2,Processed Foods
578,mustard cabbage,36,0.1,0.016,7.2,1.8,1.4,4,0,0.9,0.1,0.077,13.276,20,0.51,Condiments & Sauces
579,gourd raw,19,0.2,0.07,4.1,1.9,1.1,1,0,0.03,0.047,0.016,6.584,41,10.5,Processed Foods
580,butternut squash cooked,80,0.2,0.013,21,3.9,1.8,6.4,0,0.002,82,1.2,142.8,35,0.43,Dairy Products
581,burdock root cooked,146,0.2,0,35.1,5.9,3.5,3,0,0.4,81.3,1.3,128.7,25,8.6,Processed Foods
582,cassava,330,0.6,0.2,78.4,3.5,2.8,3.7,0,0.099,0.011,0.2,85.964,63,10.2,Processed Foods
583,peas carrots cooked,77,0.7,0.1,16.2,7,4.9,5,0,0.5,36.8,1.5,78.1,42,1,Plant-Based Proteins
584,romaine lettuce,8,0.1,0.049,1.5,0.6,0.6,1,0,0.083,15.5,0.5,21.1,63,0.5,Processed Foods
585,yam raw,177,0.3,0.067,41.8,0.8,2.3,6.2,0,0.017,0.025,0.3,51.39,73,10.4,Processed Foods
586,chowchow pickles,296,2.2,0.4,65.3,58.5,3.7,3.7,0,1.3,56.4,3.4,149.4,53,3.1,Processed Foods
587,prairie turnips raw,20,0.029,0,4.5,0.1,0.3,1,0,0.059,16.5,0.2,23.255,46,12,Processed Foods
588,savoy cabbage raw,19,0.017,0.091,4.3,1.6,1.4,2.2,0,0.007,0.066,0.071,8.199,30,0.51,Processed Foods
589,celery raw,6,0.045,0.005,1.2,0.5,0.3,0.6,0,0.019,0.086,0.056,2.212,97,12,Processed Foods
590,celeriac cooked,42,0.3,0,9.1,0,1.5,0,0,0.084,40.3,0.7,57.5,75,1,Processed Foods
591,mustard spinach raw,33,0.5,0.087,5.9,0,3.3,4.2,0,0.025,315,2.3,526.2,1,0.5,Vegetables
592,zucchini raw,44,0.8,0.2,8.1,6.5,3.1,2.6,0,0.023,0.033,0.1,15.151,84,18.8,Processed Foods
593,okra cooked,35,0.3,0.032,7.2,3.8,3,4,0,0.4,123.2,0.4,164.2,94,2.2,Processed Foods
594,white icicle radish,14,0.1,0.076,2.6,0,1.1,1.4,0,0.049,27,0.8,62,55,11,Processed Foods
595,orange tomato,18,0.2,0.097,3.5,0,1.3,1,0,0.001,0,0.079,6.093,42,19.6,Vegetables
596,pumpkin leaves raw,7,0.2,0.053,0.9,0,1.2,0,0,0.057,15.2,0.9,22.7,91,10.9,Processed Foods
597,spaghetti squash cooked,42,0.4,0.091,10,3.9,1,2.2,0,0.4,32.6,0.5,52.1,34,3.8,Processed Foods
598,white corn cooked,100,1.5,0.2,22.4,8,3.4,2.8,0,0.082,0.017,0.052,30.302,41,15.2,Processed Foods
599,artichoke cooked,64,0.4,0.059,14.3,1.2,3.5,10.3,0,0.087,0.035,0.2,28.845,69,19.9,Processed Foods
600,avocado,432,39.6,5.7,23,1.8,5.4,18.1,0,0.045,0.078,0.5,87.302,4,19.9,Processed Foods
601,string beans wellsley farms,8,0,0,1.7,0.3,0.3,0.087,1,0,0,0,2.09,58,1,Plant-Based Proteins
602,lambs quarters cooked,58,1.3,0.085,9,1.1,5.8,3.8,0,0.5,464.4,1.3,552.2,69,25,Meat & Poultry
603,peas cooked,134,0.4,0.065,25,9.5,8.6,8.8,0,0.074,0.011,0.3,43.499,53,1,Plant-Based Proteins
604,beets cooked,22,0.085,0.026,5,4,0.8,1,0,0.035,0.099,0.021,7.012,65,0.43,Processed Foods
605,shallots dried,3,0.013,0.063,0.7,0.3,0.1,0.1,0,0.059,0.043,0.082,1.07,12,5.8,Processed Foods
606,green lettuce,23,0.2,0.027,4.3,1.2,2,2,0,0.05,0.2,0.012,8.829,4,0.5,Processed Foods
607,kohlrabi cooked,48,0.2,0.041,11,4.6,3,1.8,0,0.035,0.008,0.2,16.506,10,11,Processed Foods
608,kanpyo dried,139,0.3,0.041,35.1,0,4.6,5.3,0,0.056,0,0.2,45.8,79,8.5,Processed Foods
609,prairie turnips boiled,18,0.086,0,4.2,0.7,0.2,1,0,0.012,14.4,0.1,20.299,70,18.1,Oils & Fats
610,broccoli raab cooked,21,0.4,0.086,2.7,0.5,3.3,2.4,0,0.077,0.2,0.06,9.289,90,0.51,Vegetables
611,summer squash cooked,49,1,0.2,9.9,6.4,2.7,2.9,0,0.036,0.028,0.3,17.09,37,8.6,Processed Foods
612,taro cooked,187,0.1,0.012,45.7,0.6,0.7,6.7,0,0.055,0.073,0.3,53.993,7,10.6,Processed Foods
613,spring onion scallions,6,0.077,0.029,1.5,0.5,0.4,0.5,0,0.048,0.006,0.057,2.554,22,0.5,Vegetables
614,hubbard squash cooked,57,0.7,0.1,12.3,5.6,2.8,5.5,0,0.5,0.029,0.095,21.554,10,12.5,Processed Foods
615,jalapeno pepper,4,0.002,0.06,0.9,0.6,0.1,0.4,0,0.028,0.011,0.045,1.593,59,3.4,Herbs & Spices
616,new zealand spinach cooked,22,0.3,0.027,3.8,0.5,2.3,2.5,0,0.6,86.4,1.2,125.3,87,0.5,Vegetables
617,sesbania flower raw,1,0.095,0,0.2,0,0.012,0,0,0.007,0.6,0.091,3.181,25,16.2,Processed Foods
618,spirulina dried,20,0.5,0.2,1.7,0.2,4,0.3,0,0.031,8.4,2,17.6,24,11,Processed Foods
619,chinese cabbage pe tsai cooked,17,0.2,0.011,2.9,0,1.8,2,0,0.3,38.1,0.4,64.2,74,0.51,Processed Foods
620,zucchini cooked,27,0.6,0.1,4.8,3.1,2.1,1.8,0,0.077,32.4,0.7,65.6,83,1.9,Processed Foods
621,green olives pickled,4,0.4,0.064,0.1,0.051,0.073,0.057,0,0.1,0.072,0.071,0.801,70,18.8,Processed Foods
